Date_quarter,Date,sp500,vix,cpi,pop16,hours,priv_emp,wti,gs2,nfci,epu,gdp,inv,unrate,GPRD,GPRD_ACT,GPRD_THREAT,t10Y2Y,t10Y3M,payems
1994.5,1994-07-01,461.120780944824,12.51625,148.9,197050,84.19,95604.6666666667,18.4966666666667,6.23333333333333,-0.768273571428571,83.2409456379285,11152.176,1531.67,6,100.097173913043,66.9507608695652,123.488152173913,1.09484375,2.71890625,114919.333333333
1994.75,1994-10-01,460.0052378821,15.2687301587302,149.766666666667,197600.666666667,84.539,96466.3333333333,17.6566666666667,7.15666666666667,-0.532404615384615,83.7122303595518,11279.932,1594.684,5.63333333333333,95.4413043478261,75.5731521739131,111.904456521739,0.674590163934426,2.39327868852459,115832.666666667
1995,1995-01-01,480.465715680804,11.992380952381,150.866666666667,197882,84.949,97292,18.3566666666667,7.13333333333333,-0.570639230769231,103.136038942578,11319.951,1611.428,5.46666666666667,80.7468888888889,76.8913333333333,79.694,0.356774193548387,1.55483870967742,116702.333333333
1995.25,1995-04-01,524.44285656157,12.1903174603175,152.1,198295.666666667,84.827,97702,19.3433333333333,6.15333333333333,-0.690260769230769,69.7068682248076,11353.721,1577.96,5.66666666666667,97.3696703296703,87.8347252747253,104.392747252747,0.468412698412698,0.828253968253968,117134.333333333
1995.5,1995-07-01,564.796346997458,12.4726984126984,152.866666666667,198807,85.801,98201.6666666667,17.8533333333333,5.85666666666667,-0.702492307692308,69.3072894389067,11450.31,1568.555,5.66666666666667,97.0025,92.0628260869566,103.595326086957,0.467619047619048,0.796666666666667,117633.666666667
1995.75,1995-10-01,597.171428377666,12.8996825396825,153.7,199351.666666667,86.02,98707.6666666667,18.1566666666667,5.5,-0.738936923076923,90.5920848335353,11528.067,1607.513,5.56666666666667,69.9367391304348,64.7078260869565,70.7816304347826,0.395483870967742,0.477741935483871,118172
1996,1996-01-01,636.454764229911,15.398253968254,155.066666666667,199776,86.186,99193,19.77,5.26666666666667,-0.789621538461539,86.743356286393,11614.418,1633.332,5.53333333333333,91.7704395604395,90.3615384615385,91.0919780219781,0.640322580645161,0.837903225806452,118682
1996.25,1996-04-01,658.85206046937,16.368253968254,156.4,200279.333333333,86.993,99950.6666666667,21.7566666666667,6.12,-0.708656153846154,71.7445355553716,11808.14,1711.813,5.5,84.9123076923077,88.0565934065933,78.9871428571429,0.60328125,1.55875,119474.666666667
1996.5,1996-07-01,660.09797000885,16.7784375,157.3,200849.666666667,87.716,100666.333333333,22.4233333333333,6.17666666666667,-0.733312307692308,79.1072858453837,11914.063,1789.565,5.26666666666667,94.8392391304348,98.5053260869566,93.435652173913,0.6,1.53421875,120205.666666667
1996.75,1996-10-01,725.860781669617,17.20625,158.666666666667,201457.333333333,88.705,101355,24.6666666666667,5.79666666666667,-0.760825384615385,65.7382620080253,12037.775,1787.19,5.33333333333333,67.9201086956522,60.9141304347826,69.9946739130435,0.550483870967742,1.24483870967742,120918.333333333
