horizon,lower90,lower68,median,upper68,upper90,p,rho,alpha,application,information_set,info_set_label,shock
8,-0.0032134326406476,-0.00133182630210338,0.00160814779889317,0.00535053393931363,0.00871283314932598,0.032044375,0.0505897868442961,0.99,dralacbn,real_side,Real-side,2001Q3
9,-0.00368924641634018,-0.00160775154330754,0.00148524215152875,0.0054565527022651,0.00916200578866852,0.032044375,0.0505897868442961,0.99,dralacbn,real_side,Real-side,2001Q3
10,-0.00413052668831259,-0.00188580399172845,0.0013216635007808,0.00554248585430297,0.00951908919972999,0.032044375,0.0505897868442961,0.99,dralacbn,real_side,Real-side,2001Q3
11,-0.00454015776100853,-0.00214644659927115,0.00119316773559026,0.00553393283859869,0.00983463457868268,0.032044375,0.0505897868442961,0.99,dralacbn,real_side,Real-side,2001Q3
12,-0.00490946251862073,-0.00235581806935372,0.00106268221352134,0.00555894635269191,0.0100080112082214,0.032044375,0.0505897868442961,0.99,dralacbn,real_side,Real-side,2001Q3
0,-0.000190526744297826,0.000157859758469678,0.000749165735737859,0.0014362953937942,0.00197243173340004,0.032044375,0.0505897868442961,0.999,dralacbn,real_side,Real-side,2001Q3
1,0.000722779346515711,0.00133025965259675,0.00235455967262104,0.0035901935618062,0.00453074707770514,0.032044375,0.0505897868442961,0.999,dralacbn,real_side,Real-side,2001Q3
2,0.000224322088767418,0.00111649084124525,0.00250342632741765,0.00415640967919649,0.00541491774417199,0.032044375,0.0505897868442961,0.999,dralacbn,real_side,Real-side,2001Q3
3,-0.000166879954057128,0.0010113240250077,0.0028911645995179,0.00512823977071419,0.00672602554990359,0.032044375,0.0505897868442961,0.999,dralacbn,real_side,Real-side,2001Q3
4,-0.00116263342002063,0.000284686548341649,0.00254793750068854,0.00525119741376687,0.00731209750994973,0.032044375,0.0505897868442961,0.999,dralacbn,real_side,Real-side,2001Q3
5,-0.00238390768419569,-0.000686717834119693,0.00201294221847155,0.0051706041647258,0.00769716677403066,0.032044375,0.0505897868442961,0.999,dralacbn,real_side,Real-side,2001Q3
6,-0.00292422455731212,-0.00097706659569948,0.00203887290922365,0.00568095428963579,0.00877657601666795,0.032044375,0.0505897868442961,0.999,dralacbn,real_side,Real-side,2001Q3
7,-0.00341387821479163,-0.00124371690150987,0.00209173176241968,0.00619363039924767,0.0098577763234018,0.032044375,0.0505897868442961,0.999,dralacbn,real_side,Real-side,2001Q3
8,-0.00401351949236612,-0.00164431016778155,0.00197503771087717,0.00650606525805365,0.0106242407812544,0.032044375,0.0505897868442961,0.999,dralacbn,real_side,Real-side,2001Q3
9,-0.00464708171989386,-0.00201026732902449,0.00183437137099107,0.00669414654329617,0.0112442446743354,0.032044375,0.0505897868442961,0.999,dralacbn,real_side,Real-side,2001Q3
10,-0.00522178222315716,-0.00235335202989786,0.00165178427951364,0.00682772760129301,0.011844864686564,0.032044375,0.0505897868442961,0.999,dralacbn,real_side,Real-side,2001Q3
11,-0.00583454553760409,-0.0027085268614792,0.00148820842497517,0.00687532280042519,0.0122476826164498,0.032044375,0.0505897868442961,0.999,dralacbn,real_side,Real-side,2001Q3
12,-0.00635003682982582,-0.00299217019792822,0.00133364445702568,0.00694080167290787,0.0125844478046934,0.032044375,0.0505897868442961,0.999,dralacbn,real_side,Real-side,2001Q3
