horizon,lower90,lower68,median,upper68,upper90,p,rho,alpha,application,information_set,info_set_label,shock
8,-0.00494895582306166,-0.00299464582931014,-0.00030317508764648,0.00279932154531983,0.00543257624350774,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,2001Q3
9,-0.00499415905461067,-0.00291678902975839,-0.000117023453716473,0.00306821844358507,0.00592985648986046,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,2001Q3
10,-0.004817555687947,-0.00274205046126245,9.85001314590568e-05,0.0033804591149793,0.00641525918544326,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,2001Q3
11,-0.00468510483644573,-0.00251668824516342,0.000304201785443676,0.00367896700859559,0.00692031847384652,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,2001Q3
12,-0.00452038567546441,-0.00234251481888411,0.000496401447187543,0.00397126341880198,0.00738432950761936,0.032044375,0.0505897868442961,0.99,dralacbn,uncertainty,Uncertainty,2001Q3
0,-0.000408178704854865,-8.43598199672749e-06,0.000503517563814837,0.0012593988314857,0.00188626174622567,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,2001Q3
1,-0.000764187935536814,-1.97695151332046e-05,0.00106581998945504,0.00225756978225049,0.00317373311474129,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,2001Q3
2,-0.00152876595137872,-0.000567068410723042,0.000780991775076538,0.00225104249584252,0.00342138945241167,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,2001Q3
3,-0.0025623448660703,-0.00130403368884013,0.000492695813413654,0.00241591808537414,0.00391617756234041,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,2001Q3
4,-0.00389348103051233,-0.00240576223616902,-0.000141190119552286,0.00221286257079002,0.00400539684738079,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,2001Q3
5,-0.0050730323691906,-0.00318033341662437,-0.000507142886257986,0.00234401436111353,0.00451860947053528,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,2001Q3
6,-0.0057216612836398,-0.00346420188908828,-0.00046554544431744,0.00288957073460237,0.00557936348857136,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,2001Q3
7,-0.00630587982772421,-0.00385691031368676,-0.00056225837899784,0.00315501305226401,0.0062841000506891,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,2001Q3
8,-0.00658523041477471,-0.0039135459335665,-0.000388465891060827,0.00362321407357563,0.00699181043397768,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,2001Q3
9,-0.00662631415224482,-0.00385806817064415,-0.00015227281781019,0.00396769796221577,0.00763773107680452,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,2001Q3
10,-0.00650078855138704,-0.0036122800303126,0.000129223615820601,0.00437441490922389,0.00834152786967775,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,2001Q3
11,-0.00629961312878178,-0.00333482517907042,0.000396502391742725,0.00479213882039923,0.00904643150059666,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,2001Q3
12,-0.00609452863748457,-0.00310801457761292,0.000654959932219475,0.00520408740827029,0.00965020892024791,0.032044375,0.0505897868442961,0.999,dralacbn,uncertainty,Uncertainty,2001Q3
