horizon,lower90,lower68,median,upper68,upper90,p,rho,alpha,application,information_set,info_set_label,shock
11,-0.00643840515856432,-0.00357960942239524,0.000290232460346655,0.00456111935209157,0.0087051100980862,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,2001Q3
12,-0.00695017748758296,-0.00373590506078414,0.000390485109854424,0.00503692655746165,0.00960605136746059,0.032044375,0.0505897868442961,0.99,dralacbn,caldara_style,Caldara-style,2001Q3
0,-0.000590933315204869,-0.000308239735279593,4.5695330722996e-05,0.000372656828390434,0.000635891324481353,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,2001Q3
1,-0.000733004368461653,-0.000362823411860929,0.000191808114172074,0.000760299362776107,0.00116924001424421,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,2001Q3
2,-0.00117202450737899,-0.000719735912337173,-7.75776439751255e-05,0.00057573533054594,0.00103305406703573,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,2001Q3
3,-0.00164967990377793,-0.00114617524097122,-0.000416900267658411,0.000310048250988968,0.000824172422741573,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,2001Q3
4,-0.00209895512071555,-0.00123267792614819,2.11291040984503e-06,0.00125755783864888,0.00216228428304609,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,2001Q3
5,-0.00164118096615822,-0.000461646158604345,0.00136355996724304,0.00323310414248347,0.00467130462426603,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,2001Q3
6,-0.00309687419822634,-0.00149098723361076,0.000830431581524953,0.0033937892640189,0.00538175768615239,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,2001Q3
7,-0.00438590622926448,-0.00233940006680139,0.000581954958072967,0.00379907927840658,0.00643175730094429,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,2001Q3
8,-0.00561512460088207,-0.00312148283022959,0.000394112515398108,0.00419127112324215,0.0074529988303241,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,2001Q3
9,-0.00667047148647918,-0.00372930355123693,0.000283745490449107,0.00465159071381371,0.00845414514284431,0.032044375,0.0505897868442961,0.999,dralacbn,caldara_style,Caldara-style,2001Q3
